divNo,mainCode,productCode,sumOfCases,startingStoreCount,year1,year2,year3,year4,year5,year6,fcYear1,fcYear2,fcYear3,fcYear4,fcYear5,fcYear6,supplierNo,lySales
10,100000,100000,336.4,195,2026,2027,2028,2029,2030,2031,53.0,61.4,58.5,59.2,51.8,52.5,10001,439
18,100000,100000,323.4,209,2026,2027,2028,2029,2030,2031,51.8,50.4,52.2,53.4,55.2,60.4,10001,469
1,100000,100000,336.4,243,2026,2027,2028,2029,2030,2031,47.3,63.1,52.4,59.8,51.3,62.5,10001,333
4,100000,100000,318.6,182,2026,2027,2028,2029,2030,2031,56.2,52.5,45.8,45.8,58.3,60.0,10001,413
5,100001,100001,416.6,175,2026,2027,2028,2029,2030,2031,65.2,70.3,75.6,69.8,67.8,67.9,10003,445
11,100001,100001,422.5,253,2026,2027,2028,2029,2030,2031,63.0,74.9,64.6,71.7,78.7,69.6,10003,490
20,100001,100001,428.7,198,2026,2027,2028,2029,2030,2031,76.2,70.6,69.9,62.2,71.2,78.6,10003,414
6,100001,100001,418.9,87,2026,2027,2028,2029,2030,2031,72.8,69.6,60.0,70.6,70.4,75.5,10003,472
4,100002,100002,385.3,285,2026,2027,2028,2029,2030,2031,55.7,62.4,58.7,71.0,64.6,72.9,10013,1533
7,100002,100002,430.8,172,2026,2027,2028,2029,2030,2031,74.6,71.8,71.3,67.1,68.0,78.0,10013,1583
15,100003,100003,425.2,173,2026,2027,2028,2029,2030,2031,68.7,71.7,76.1,71.8,74.7,62.2,10018,322
18,100003,100003,396.5,103,2026,2027,2028,2029,2030,2031,61.8,69.0,61.3,78.6,63.0,62.8,10018,441
11,100003,100003,416.8,196,2026,2027,2028,2029,2030,2031,67.4,67.2,69.0,77.7,72.8,62.7,10018,437
13,100004,100004,1023.8,172,2026,2027,2028,2029,2030,2031,164.6,164.5,190.3,168.0,173.8,162.6,10005,1719
12,100004,100004,1050.9,111,2026,2027,2028,2029,2030,2031,197.2,163.5,181.1,163.5,153.7,191.9,10005,1755
5,100004,100004,1065.3,75,2026,2027,2028,2029,2030,2031,187.6,179.2,185.7,150.2,172.1,190.5,10005,2301
6,100005,100005,319.7,123,2026,2027,2028,2029,2030,2031,53.9,57.9,50.8,53.9,55.7,47.5,10015,1305
14,100005,100005,321.0,283,2026,2027,2028,2029,2030,2031,58.4,44.1,52.5,51.9,55.2,58.9,10015,1503
6,100006,100006,306.3,126,2026,2027,2028,2029,2030,2031,56.3,45.8,55.6,57.8,47.6,43.2,10004,936
2,100006,100006,314.5,290,2026,2027,2028,2029,2030,2031,44.4,59.7,47.5,59.8,52.0,51.1,10004,702
13,100006,100006,312.7,233,2026,2027,2028,2029,2030,2031,51.3,47.3,56.7,48.3,55.3,53.8,10004,730
10,100007,100007,426.8,221,2026,2027,2028,2029,2030,2031,62.0,78.2,79.1,77.5,70.1,59.9,10015,1853
19,100007,100007,423.8,118,2026,2027,2028,2029,2030,2031,81.2,69.2,80.1,58.0,66.9,68.4,10015,3114
998,100007,100007,405.1,80,2026,2027,2028,2029,2030,2031,65.0,75.0,58.1,73.4,74.3,59.3,10015,2397
7,100007,100007,444.7,213,2026,2027,2028,2029,2030,2031,61.6,74.1,79.8,78.9,76.1,74.2,10015,3059
8,100008,100008,306.5,187,2026,2027,2028,2029,2030,2031,45.2,55.6,53.1,49.8,52.1,50.7,10010,472
5,100008,100008,328.0,185,2026,2027,2028,2029,2030,2031,56.9,55.8,54.4,52.9,56.3,51.7,10010,448
16,100008,100008,295.8,88,2026,2027,2028,2029,2030,2031,43.9,52.4,43.6,52.1,51.3,52.5,10010,319
998,100009,100009,1327.4,194,2026,2027,2028,2029,2030,2031,227.7,259.7,224.3,193.9,199.8,222.0,10015,1965
7,100009,100009,1445.7,198,2026,2027,2028,2029,2030,2031,225.6,252.5,246.0,220.5,253.3,247.8,10015,1990
999,100009,100009,1418.7,170,2026,2027,2028,2029,2030,2031,222.6,244.2,231.8,194.3,259.3,266.5,10015,1924
19,100009,100009,1448.7,278,2026,2027,2028,2029,2030,2031,221.5,249.6,249.3,265.9,240.0,222.4,10015,2487
998,100010,100010,448.2,107,2026,2027,2028,2029,2030,2031,78.7,70.9,66.6,75.8,75.6,80.6,10006,701
18,100010,100010,467.4,108,2026,2027,2028,2029,2030,2031,81.4,87.1,73.9,80.4,72.9,71.7,10006,495
5,100010,100010,454.2,157,2026,2027,2028,2029,2030,2031,70.9,69.1,86.0,80.6,64.9,82.7,10006,624
3,100011,100011,348.1,162,2026,2027,2028,2029,2030,2031,60.3,57.4,61.9,65.9,53.3,49.3,10008,287
4,100011,100011,345.5,237,2026,2027,2028,2029,2030,2031,52.8,65.7,49.6,58.5,54.2,64.7,10008,357
998,100012,100012,3006.7,201,2026,2027,2028,2029,2030,2031,546.0,564.0,487.3,469.5,446.7,493.2,10009,13908
11,100012,100012,3129.9,221,2026,2027,2028,2029,2030,2031,551.8,504.6,471.8,483.1,561.8,556.8,10009,10520
8,100012,100012,2845.0,111,2026,2027,2028,2029,2030,2031,487.8,516.2,468.6,450.7,431.6,490.1,10009,13702
10,100012,100012,3110.8,192,2026,2027,2028,2029,2030,2031,450.9,518.1,534.3,552.3,494.1,561.1,10009,11531
7,100013,100013,295.6,146,2026,2027,2028,2029,2030,2031,43.9,50.4,49.0,51.9,57.0,43.4,10016,1987
11,100013,100013,320.0,172,2026,2027,2028,2029,2030,2031,53.1,57.8,45.8,55.8,55.2,52.3,10016,1485
997,100013,100013,312.1,241,2026,2027,2028,2029,2030,2031,58.4,47.8,58.4,46.2,45.8,55.5,10016,2339
999,100014,100014,314.0,128,2026,2027,2028,2029,2030,2031,52.4,49.5,51.0,50.3,53.7,57.1,10008,1090
20,100014,100014,333.5,284,2026,2027,2028,2029,2030,2031,54.6,54.3,46.9,63.3,53.8,60.6,10008,1045
7,100014,100014,317.4,199,2026,2027,2028,2029,2030,2031,50.9,45.9,61.1,58.8,45.4,55.3,10008,1332
7,100015,100015,663.3,260,2026,2027,2028,2029,2030,2031,104.2,121.0,108.6,114.4,115.5,99.6,10016,842
11,100015,100015,657.4,189,2026,2027,2028,2029,2030,2031,116.9,117.5,107.2,117.3,103.2,95.3,10016,842
8,100015,100015,653.4,291,2026,2027,2028,2029,2030,2031,124.1,110.2,113.9,92.3,91.4,121.5,10016,1009
14,100016,100016,1417.9,208,2026,2027,2028,2029,2030,2031,269.0,218.8,257.9,200.5,241.3,230.4,10011,2035
5,100016,100016,1483.5,54,2026,2027,2028,2029,2030,2031,276.6,274.8,254.0,201.0,243.5,233.6,10011,1913
10,100017,100017,415.3,88,2026,2027,2028,2029,2030,2031,74.9,71.7,74.7,77.1,58.6,58.3,10012,1003
1,100017,100017,407.3,167,2026,2027,2028,2029,2030,2031,70.4,61.9,64.3,74.5,57.9,78.3,10012,1234
17,100017,100017,435.0,244,2026,2027,2028,2029,2030,2031,79.0,61.3,71.9,75.7,71.2,75.9,10012,854
18,100018,100018,361.7,300,2026,2027,2028,2029,2030,2031,62.2,63.6,51.0,66.5,62.4,56.0,10004,1690
16,100018,100018,349.2,171,2026,2027,2028,2029,2030,2031,51.2,60.0,50.2,53.6,66.9,67.3,10004,1200
2,100018,100018,362.2,267,2026,2027,2028,2029,2030,2031,68.1,63.2,55.0,60.3,62.7,52.9,10004,1237
999,100019,100019,1472.8,188,2026,2027,2028,2029,2030,2031,267.9,217.7,238.8,239.0,261.6,247.8,10012,1229
13,100019,100019,1488.8,63,2026,2027,2028,2029,2030,2031,254.1,205.0,272.7,251.6,233.8,271.6,10012,1037
11,100020,100020,310.9,165,2026,2027,2028,2029,2030,2031,56.0,59.2,49.4,56.0,43.0,47.3,10011,596
20,100020,100020,310.3,208,2026,2027,2028,2029,2030,2031,48.7,59.0,50.1,54.4,54.1,44.0,10011,526
3,100021,100021,313.7,51,2026,2027,2028,2029,2030,2031,47.0,57.2,55.7,57.7,50.0,46.1,10012,1579
9,100021,100021,308.6,181,2026,2027,2028,2029,2030,2031,52.3,58.1,46.1,45.8,52.0,54.3,10012,1179
3,100022,100022,6000.0,280,2026,2027,2028,2029,2030,2031,1091.1,992.5,1014.4,980.7,1015.3,906.0,10019,12801
20,100022,100022,6291.4,118,2026,2027,2028,2029,2030,2031,1233.4,963.0,1063.4,1122.6,936.6,972.4,10019,12309
9,100023,100023,2449.2,207,2026,2027,2028,2029,2030,2031,367.6,432.7,375.9,454.5,424.4,394.1,10003,5664
14,100023,100023,2383.5,134,2026,2027,2028,2029,2030,2031,341.7,368.3,455.1,372.0,410.8,435.6,10003,6681
997,100024,100024,494.3,131,2026,2027,2028,2029,2030,2031,78.3,87.0,89.7,83.4,74.8,81.1,10013,1721
20,100024,100024,509.9,150,2026,2027,2028,2029,2030,2031,89.6,83.8,86.2,76.7,80.5,93.1,10013,1808
5,100024,100024,507.3,236,2026,2027,2028,2029,2030,2031,96.5,75.4,98.3,74.9,91.7,70.5,10013,1922
10,100025,100025,289.0,146,2026,2027,2028,2029,2030,2031,54.3,44.9,47.8,46.9,45.2,49.9,10017,893
999,100025,100025,324.8,189,2026,2027,2028,2029,2030,2031,59.8,50.9,49.5,51.4,58.6,54.6,10017,866
3,100025,100025,326.7,113,2026,2027,2028,2029,2030,2031,59.4,54.8,56.7,52.9,58.5,44.4,10017,1313
14,100025,100025,309.4,242,2026,2027,2028,2029,2030,2031,48.7,53.8,43.3,59.7,54.4,49.5,10017,1078
9,100026,100026,308.4,223,2026,2027,2028,2029,2030,2031,55.6,52.3,54.5,46.4,49.0,50.6,10018,947
8,100026,100026,296.1,79,2026,2027,2028,2029,2030,2031,51.3,48.5,42.9,44.3,49.8,59.3,10018,1078
17,100026,100026,308.8,74,2026,2027,2028,2029,2030,2031,55.3,48.6,48.5,56.2,51.6,48.6,10018,866
3,100027,100027,6240.0,112,2026,2027,2028,2029,2030,2031,881.4,1135.7,1066.0,1076.1,898.4,1182.4,10012,23988
10,100027,100027,6157.3,97,2026,2027,2028,2029,2030,2031,1032.7,956.2,989.2,1001.6,1117.9,1059.7,10012,25762
2,100027,100027,5829.9,230,2026,2027,2028,2029,2030,2031,991.2,851.6,1054.3,909.9,1046.7,976.2,10012,19694
999,100027,100027,6328.2,143,2026,2027,2028,2029,2030,2031,937.9,1085.4,1117.3,1041.6,1118.5,1027.5,10012,21279
16,100028,100028,325.1,94,2026,2027,2028,2029,2030,2031,53.7,55.2,55.3,49.8,54.5,56.6,10011,399
17,100028,100028,323.8,128,2026,2027,2028,2029,2030,2031,61.4,53.4,59.6,49.3,50.2,49.9,10011,258
997,100028,100028,334.6,174,2026,2027,2028,2029,2030,2031,54.9,50.4,55.2,59.3,58.9,55.9,10011,363
6,100029,100029,423.0,84,2026,2027,2028,2029,2030,2031,68.3,73.0,76.6,66.0,74.2,64.9,10003,745
18,100029,100029,473.0,163,2026,2027,2028,2029,2030,2031,74.8,79.5,82.0,75.5,77.7,83.5,10003,905
16,100029,100029,440.2,93,2026,2027,2028,2029,2030,2031,66.8,65.4,84.8,72.4,71.9,78.9,10003,1065
10,100029,100029,472.2,189,2026,2027,2028,2029,2030,2031,79.6,85.1,77.8,78.2,79.8,71.7,10003,1088
2,100030,100030,961.7,58,2026,2027,2028,2029,2030,2031,143.6,154.8,171.7,167.2,145.2,179.2,10019,2705
15,100030,100030,986.5,257,2026,2027,2028,2029,2030,2031,150.7,176.1,155.6,185.7,173.8,144.6,10019,3187
18,100030,100030,1007.0,258,2026,2027,2028,2029,2030,2031,169.1,178.5,164.9,155.0,165.2,174.3,10019,2299
18,100031,100031,571.1,181,2026,2027,2028,2029,2030,2031,95.3,81.8,107.3,85.7,94.5,106.5,10013,2091
9,100031,100031,598.6,271,2026,2027,2028,2029,2030,2031,97.9,79.5,106.8,101.2,105.4,107.8,10013,1771
8,100032,100032,3212.1,156,2026,2027,2028,2029,2030,2031,575.7,563.8,548.8,515.8,531.3,476.7,10004,16818
5,100032,100032,3191.8,274,2026,2027,2028,2029,2030,2031,442.6,569.7,565.2,500.5,561.8,552.0,10004,16751
999,100032,100032,3197.3,167,2026,2027,2028,2029,2030,2031,597.2,487.1,429.7,566.1,558.8,558.4,10004,19650
11,100032,100032,3376.8,176,2026,2027,2028,2029,2030,2031,552.5,579.5,569.9,499.5,600.4,575.0,10004,15655
19,100033,100033,473.2,54,2026,2027,2028,2029,2030,2031,82.2,84.9,81.5,63.2,78.0,83.4,10011,452
5,100033,100033,452.7,83,2026,2027,2028,2029,2030,2031,84.0,73.3,62.1,86.5,67.2,79.6,10011,717
16,100033,100033,438.5,220,2026,2027,2028,2029,2030,2031,69.8,84.4,84.4,64.4,71.3,64.2,10011,725
10,100034,100034,303.4,83,2026,2027,2028,2029,2030,2031,54.7,46.6,54.0,54.8,42.5,50.8,10008,316
999,100034,100034,295.2,227,2026,2027,2028,2029,2030,2031,51.6,50.3,42.6,48.5,44.6,57.6,10008,233
3,100035,100035,304.6,214,2026,2027,2028,2029,2030,2031,44.3,48.9,47.7,49.2,56.7,57.8,10013,388
4,100035,100035,298.6,210,2026,2027,2028,2029,2030,2031,45.0,51.8,42.6,53.9,50.2,55.1,10013,344
15,100036,100036,488.7,252,2026,2027,2028,2029,2030,2031,94.3,72.8,72.3,89.5,78.8,81.0,10012,1142
7,100036,100036,495.3,226,2026,2027,2028,2029,2030,2031,76.7,71.2,84.5,85.9,86.1,90.9,10012,1044
3,100036,100036,501.6,215,2026,2027,2028,2029,2030,2031,92.9,93.7,74.7,86.1,74.2,80.0,10012,1068
4,100037,100037,955.6,83,2026,2027,2028,2029,2030,2031,146.6,151.3,148.0,170.5,170.9,168.3,10016,2399
8,100037,100037,901.3,68,2026,2027,2028,2029,2030,2031,163.5,142.6,148.9,130.2,145.1,171.0,10016,1827
2,100038,100038,1419.6,187,2026,2027,2028,2029,2030,2031,239.4,249.3,238.9,231.9,255.3,204.8,10019,2859
13,100038,100038,1381.3,133,2026,2027,2028,2029,2030,2031,210.5,204.9,204.5,273.2,277.5,210.7,10019,2612
997,100039,100039,323.2,166,2026,2027,2028,2029,2030,2031,58.0,58.6,60.8,46.1,46.6,53.1,10002,339
998,100039,100039,302.0,52,2026,2027,2028,2029,2030,2031,46.1,57.4,57.3,48.3,45.3,47.6,10002,253
3,100039,100039,331.0,249,2026,2027,2028,2029,2030,2031,62.7,54.8,59.6,58.4,48.1,47.4,10002,389
10,100039,100039,326.6,117,2026,2027,2028,2029,2030,2031,58.6,47.2,61.7,51.3,53.0,54.8,10002,358
16,100040,100040,1400.8,222,2026,2027,2028,2029,2030,2031,199.1,263.5,208.0,207.3,256.6,266.3,10020,6230
15,100040,100040,1357.2,148,2026,2027,2028,2029,2030,2031,213.0,235.4,198.2,263.8,214.3,232.5,10020,6881
17,100040,100040,1436.2,107,2026,2027,2028,2029,2030,2031,209.0,271.6,197.5,259.0,251.9,247.2,10020,4908
12,100040,100040,1357.1,280,2026,2027,2028,2029,2030,2031,228.0,252.4,216.4,200.9,224.5,234.9,10020,4020
2,100041,100041,347.3,52,2026,2027,2028,2029,2030,2031,50.7,58.7,55.0,66.5,55.9,60.5,10011,427
13,100041,100041,364.7,247,2026,2027,2028,2029,2030,2031,55.2,65.2,64.3,54.2,56.8,69.0,10011,540
8,100042,100042,370.7,244,2026,2027,2028,2029,2030,2031,54.1,65.5,67.6,68.8,53.8,60.9,10002,1241
5,100042,100042,386.1,65,2026,2027,2028,2029,2030,2031,72.3,69.6,55.8,65.2,58.8,64.4,10002,1455
1,100042,100042,364.5,279,2026,2027,2028,2029,2030,2031,56.7,59.7,54.5,58.7,72.2,62.7,10002,1047
14,100042,100042,369.4,195,2026,2027,2028,2029,2030,2031,75.0,55.4,55.7,56.5,71.6,55.2,10002,836
8,100043,100043,1123.4,291,2026,2027,2028,2029,2030,2031,212.5,178.7,206.6,174.5,182.5,168.6,10009,5353
10,100043,100043,1085.2,187,2026,2027,2028,2029,2030,2031,203.3,190.9,163.7,164.3,183.4,179.6,10009,5961
9,100043,100043,1140.9,127,2026,2027,2028,2029,2030,2031,202.7,182.5,183.2,207.9,159.6,205.0,10009,7792
11,100043,100043,1065.0,141,2026,2027,2028,2029,2030,2031,198.0,156.4,206.8,174.6,159.6,169.6,10009,6110
9,100044,100044,343.5,255,2026,2027,2028,2029,2030,2031,49.9,57.5,58.5,64.5,54.4,58.7,10005,818
6,100044,100044,332.1,225,2026,2027,2028,2029,2030,2031,51.8,50.6,65.2,53.8,53.3,57.4,10005,750
9,100045,100045,399.4,60,2026,2027,2028,2029,2030,2031,73.5,63.3,56.4,73.5,71.8,60.9,10012,1913
3,100045,100045,387.7,159,2026,2027,2028,2029,2030,2031,54.7,73.9,63.1,69.5,64.5,62.0,10012,1215
1,100045,100045,370.2,112,2026,2027,2028,2029,2030,2031,58.3,57.7,59.7,73.0,54.3,67.2,10012,1645
7,100045,100045,382.0,214,2026,2027,2028,2029,2030,2031,64.6,73.0,64.1,55.5,62.0,62.8,10012,1860
18,100046,100046,889.0,96,2026,2027,2028,2029,2030,2031,139.5,148.8,145.8,167.2,146.7,141.0,10020,1228
1,100046,100046,879.3,141,2026,2027,2028,2029,2030,2031,151.4,123.0,162.1,135.6,162.0,145.2,10020,1990
13,100046,100046,920.2,284,2026,2027,2028,2029,2030,2031,171.6,170.3,126.6,154.4,134.9,162.4,10020,1960
999,100046,100046,959.3,266,2026,2027,2028,2029,2030,2031,159.8,169.0,150.4,170.7,141.0,168.4,10020,1380
999,100047,100047,569.7,98,2026,2027,2028,2029,2030,2031,104.1,76.5,97.5,105.2,93.2,93.2,10006,2567
12,100047,100047,534.6,204,2026,2027,2028,2029,2030,2031,100.9,105.9,92.5,81.1,76.8,77.4,10006,1775
11,100048,100048,350.4,230,2026,2027,2028,2029,2030,2031,57.2,53.8,66.7,68.1,51.4,53.2,10001,1770
20,100048,100048,399.1,151,2026,2027,2028,2029,2030,2031,66.1,67.6,67.9,70.0,57.9,69.6,10001,1489
7,100048,100048,372.1,174,2026,2027,2028,2029,2030,2031,57.1,56.8,70.3,65.3,59.2,63.4,10001,1542
5,100048,100048,378.9,200,2026,2027,2028,2029,2030,2031,53.7,70.2,64.5,69.3,66.4,54.8,10001,1683
999,100049,100049,308.8,195,2026,2027,2028,2029,2030,2031,45.6,42.5,54.8,52.5,57.4,56.0,10011,1294
10,100049,100049,328.7,86,2026,2027,2028,2029,2030,2031,53.0,58.6,59.4,46.4,52.4,58.9,10011,1617
5,100049,100049,310.5,221,2026,2027,2028,2029,2030,2031,43.9,48.6,48.1,53.6,59.4,56.9,10011,1950
9,100050,100050,339.0,157,2026,2027,2028,2029,2030,2031,60.1,53.5,61.9,60.6,47.7,55.2,10007,563
7,100050,100050,336.0,271,2026,2027,2028,2029,2030,2031,63.8,56.2,54.0,57.3,48.7,56.0,10007,460
8,100050,100050,324.4,116,2026,2027,2028,2029,2030,2031,61.3,51.1,55.4,62.1,47.4,47.1,10007,559
13,100051,100051,2286.8,173,2026,2027,2028,2029,2030,2031,400.4,377.0,421.5,319.5,383.0,385.4,10002,7315
6,100051,100051,2164.2,299,2026,2027,2028,2029,2030,2031,362.3,390.5,384.6,362.7,314.5,349.6,10002,5303
18,100052,100052,357.1,50,2026,2027,2028,2029,2030,2031,59.2,54.8,61.2,64.6,63.4,53.9,10005,711
9,100052,100052,358.6,124,2026,2027,2028,2029,2030,2031,59.1,67.1,65.7,57.0,53.3,56.4,10005,956
998,100052,100052,381.4,214,2026,2027,2028,2029,2030,2031,63.0,55.2,69.7,62.9,72.1,58.5,10005,763
10,100052,100052,372.9,107,2026,2027,2028,2029,2030,2031,56.7,71.9,60.7,62.4,58.4,62.8,10005,894
998,100053,100053,1863.0,183,2026,2027,2028,2029,2030,2031,350.1,307.4,344.5,287.3,269.2,304.5,10001,10580
4,100053,100053,1934.4,281,2026,2027,2028,2029,2030,2031,320.6,356.4,314.0,358.0,314.2,271.2,10001,13486
3,100053,100053,1881.3,293,2026,2027,2028,2029,2030,2031,266.4,324.4,318.5,324.5,368.9,278.6,10001,12840
12,100053,100053,1953.0,224,2026,2027,2028,2029,2030,2031,281.3,369.1,367.8,350.1,276.3,308.4,10001,10692
9,100054,100054,568.9,53,2026,2027,2028,2029,2030,2031,79.2,94.0,93.9,103.5,92.9,105.4,10005,632
11,100054,100054,544.6,244,2026,2027,2028,2029,2030,2031,96.1,93.0,89.7,89.6,81.2,95.0,10005,690
999,100054,100054,569.9,274,2026,2027,2028,2029,2030,2031,79.7,79.8,101.1,101.3,103.8,104.2,10005,511
3,100054,100054,520.0,205,2026,2027,2028,2029,2030,2031,88.6,91.8,95.7,77.7,85.2,81.0,10005,598
999,100055,100055,371.0,121,2026,2027,2028,2029,2030,2031,64.4,68.0,67.5,49.7,65.9,55.5,10007,2517
8,100055,100055,372.6,248,2026,2027,2028,2029,2030,2031,66.7,63.2,69.0,53.9,55.4,64.4,10007,2496
2,100055,100055,347.7,239,2026,2027,2028,2029,2030,2031,54.8,57.8,62.4,53.1,53.6,66.0,10007,2068
2,100056,100056,302.5,99,2026,2027,2028,2029,2030,2031,47.9,51.4,44.9,57.4,57.9,43.0,10005,490
17,100056,100056,270.8,144,2026,2027,2028,2029,2030,2031,46.0,43.5,43.1,43.4,48.8,46.0,10005,477
6,100056,100056,294.5,95,2026,2027,2028,2029,2030,2031,51.3,53.6,44.7,43.0,49.0,52.9,10005,510
3,100056,100056,312.6,73,2026,2027,2028,2029,2030,2031,50.8,52.1,48.5,57.2,47.0,57.0,10005,348
