product_id,location,on_hand,reorder_level
1,Warehouse-A,292,50
1,Warehouse-B,19,100
1,Store-N,140,50
1,Store-S,137,100
2,Warehouse-A,128,100
2,Warehouse-B,414,100
2,Store-N,6,20
2,Store-S,157,100
3,Warehouse-A,338,50
3,Warehouse-B,428,50
3,Store-N,433,20
3,Store-S,227,50
4,Warehouse-A,8,50
4,Warehouse-B,4,50
4,Store-N,18,50
4,Store-S,245,100
5,Warehouse-A,432,100
5,Warehouse-B,111,50
5,Store-N,29,100
5,Store-S,480,20
6,Warehouse-A,141,100
6,Warehouse-B,282,50
6,Store-N,488,20
6,Store-S,225,20
7,Warehouse-A,132,50
7,Warehouse-B,132,50
7,Store-N,65,20
7,Store-S,322,20
8,Warehouse-A,75,100
8,Warehouse-B,335,20
8,Store-N,119,20
8,Store-S,335,20
9,Warehouse-A,94,100
9,Warehouse-B,259,50
9,Store-N,296,50
9,Store-S,21,100
10,Warehouse-A,367,20
10,Warehouse-B,31,100
10,Store-N,132,50
10,Store-S,8,100
11,Warehouse-A,432,50
11,Warehouse-B,276,100
11,Store-N,22,100
11,Store-S,120,50
12,Warehouse-A,55,20
12,Warehouse-B,259,50
12,Store-N,57,100
12,Store-S,39,20
13,Warehouse-A,104,50
13,Warehouse-B,292,50
13,Store-N,424,100
13,Store-S,212,20
14,Warehouse-A,328,50
14,Warehouse-B,448,50
14,Store-N,73,20
14,Store-S,167,100
15,Warehouse-A,403,50
15,Warehouse-B,171,50
15,Store-N,459,100
15,Store-S,191,50
16,Warehouse-A,482,50
16,Warehouse-B,318,20
16,Store-N,82,50
16,Store-S,22,50
17,Warehouse-A,476,20
17,Warehouse-B,466,100
17,Store-N,13,20
17,Store-S,311,20
18,Warehouse-A,413,50
18,Warehouse-B,261,100
18,Store-N,399,100
18,Store-S,260,100
19,Warehouse-A,364,50
19,Warehouse-B,481,20
19,Store-N,193,100
19,Store-S,16,100
20,Warehouse-A,371,20
20,Warehouse-B,195,100
20,Store-N,40,20
20,Store-S,490,20
21,Warehouse-A,289,100
21,Warehouse-B,294,100
21,Store-N,280,100
21,Store-S,214,100
22,Warehouse-A,375,20
22,Warehouse-B,433,100
22,Store-N,408,20
22,Store-S,310,50
23,Warehouse-A,337,100
23,Warehouse-B,266,50
23,Store-N,162,50
23,Store-S,99,100
24,Warehouse-A,150,20
24,Warehouse-B,168,20
24,Store-N,409,50
24,Store-S,118,50
25,Warehouse-A,161,100
25,Warehouse-B,497,20
25,Store-N,354,20
25,Store-S,227,100
26,Warehouse-A,490,50
26,Warehouse-B,185,20
26,Store-N,180,100
26,Store-S,258,20
27,Warehouse-A,468,50
27,Warehouse-B,334,50
27,Store-N,309,20
27,Store-S,229,50
28,Warehouse-A,117,100
28,Warehouse-B,423,20
28,Store-N,473,100
28,Store-S,125,50
29,Warehouse-A,345,100
29,Warehouse-B,340,20
29,Store-N,310,50
29,Store-S,407,50
30,Warehouse-A,174,50
30,Warehouse-B,60,20
30,Store-N,209,50
30,Store-S,258,20
