order_id,customer_id,amount,status,placed_at
1,17,9.7,paid,2026-02-14
2,43,67.55,paid,2025-12-19
3,4,459.63,paid,2025-10-27
4,46,389.88,paid,2025-10-02
5,46,231.6,paid,2025-11-04
6,30,253.6,paid,2025-09-27
7,34,471.13,cancelled,2026-01-07
8,20,319.64,paid,2025-11-29
9,27,386.44,pending,2025-06-14
10,6,42.96,paid,2026-03-18
11,11,289.78,paid,2025-12-09
12,36,465.15,pending,2026-04-29
13,28,340.13,cancelled,2026-02-24
14,31,251.41,paid,2025-05-23
15,35,350.45,paid,2025-06-23
16,13,455.89,pending,2025-05-04
17,28,352.78,pending,2025-12-30
18,48,332.28,cancelled,2025-08-07
19,44,306.55,paid,2026-02-07
20,44,465.44,pending,2026-01-09
21,12,42.19,pending,2025-08-14
22,23,476.48,paid,2025-10-22
23,11,189.78,paid,2025-05-22
24,16,416.7,cancelled,2026-03-05
25,19,153.09,paid,2026-01-15
26,1,370.32,paid,2026-01-13
27,20,464.91,refunded,2025-08-14
28,3,468.03,cancelled,2025-08-28
29,4,181.09,paid,2025-11-17
30,20,180.18,paid,2026-01-29
31,26,180.49,paid,2025-08-26
32,13,46.95,paid,2026-02-15
33,27,66.3,paid,2026-02-14
34,50,330.03,paid,2025-10-14
35,24,153.15,paid,2026-01-31
36,35,406.71,paid,2025-09-22
37,43,420.48,paid,2025-11-04
38,48,219.81,paid,2025-05-06
39,13,59.78,paid,2026-02-25
40,26,213.42,paid,2026-04-18
41,11,334.77,cancelled,2025-05-29
42,18,63.8,paid,2025-08-24
43,44,358.59,paid,2025-10-12
44,33,364.37,pending,2025-10-17
45,9,59.32,paid,2026-04-24
46,9,81.99,paid,2025-05-19
47,16,30.76,pending,2025-09-27
48,39,370.03,paid,2025-12-07
49,19,245.53,pending,2025-12-29
50,40,80.49,paid,2025-12-28
51,18,384.53,cancelled,2025-05-11
52,16,334.83,paid,2025-09-04
53,46,392.44,paid,2025-08-20
54,40,94.69,refunded,2025-07-06
55,41,319.07,paid,2026-02-26
56,26,23.99,refunded,2026-02-19
57,28,13.74,paid,2026-04-08
58,25,206.61,paid,2025-06-14
59,15,114.78,paid,2026-04-03
60,33,216.4,paid,2026-03-09
61,18,184.97,cancelled,2025-05-05
62,27,127.25,cancelled,2026-01-31
63,3,5.27,paid,2025-11-21
64,14,146.23,paid,2025-06-28
65,7,218.3,paid,2025-08-26
66,24,170.47,paid,2025-05-27
67,1,343.07,pending,2026-02-27
68,22,183.48,pending,2025-07-07
69,34,304.33,paid,2025-12-14
70,14,294.24,paid,2026-03-11
71,9,316.63,paid,2026-04-13
72,38,484.32,cancelled,2026-01-27
73,13,353.81,cancelled,2026-03-27
74,35,311.41,paid,2025-09-04
75,49,104.99,pending,2026-04-12
76,9,99.89,paid,2025-12-26
77,49,427.45,cancelled,2025-11-08
78,24,227.0,pending,2025-09-23
79,5,244.0,paid,2025-08-20
80,2,87.63,paid,2026-02-27
81,19,27.5,paid,2025-05-14
82,13,371.65,paid,2025-05-19
83,35,435.78,refunded,2026-02-09
84,29,376.61,paid,2025-10-17
85,26,305.57,paid,2026-05-03
86,11,288.09,paid,2026-04-30
87,33,230.44,pending,2025-08-09
88,17,155.19,paid,2025-05-07
89,18,278.31,paid,2026-04-11
90,35,122.92,paid,2026-02-18
91,18,463.99,paid,2026-04-08
92,42,490.11,refunded,2026-01-17
93,35,62.51,paid,2025-06-15
94,39,486.25,paid,2025-05-08
95,36,135.7,paid,2025-06-25
96,19,165.69,paid,2026-04-29
97,23,113.54,refunded,2026-02-03
98,17,485.94,paid,2025-07-10
99,7,362.69,paid,2025-06-04
100,17,435.66,paid,2025-07-26
101,14,409.34,paid,2025-12-18
102,14,292.92,pending,2025-10-14
103,10,225.8,pending,2025-09-24
104,24,78.43,paid,2025-08-24
105,12,232.4,pending,2026-02-03
106,13,286.98,cancelled,2026-02-01
107,42,144.61,paid,2026-02-03
108,26,345.25,paid,2026-02-20
109,5,216.07,paid,2025-06-08
110,26,54.62,paid,2026-04-28
111,39,54.37,paid,2026-03-09
112,1,382.91,paid,2026-04-12
113,9,127.93,paid,2026-02-20
114,41,301.82,pending,2026-04-30
115,7,273.47,pending,2025-05-07
116,6,105.15,paid,2025-07-20
117,29,408.66,paid,2025-09-01
118,10,125.69,paid,2025-12-19
119,41,274.09,paid,2026-04-12
120,7,274.6,paid,2025-10-04
121,10,5.6,paid,2026-01-08
122,28,195.76,paid,2025-12-09
123,15,461.24,paid,2025-05-18
124,46,412.28,paid,2026-02-07
125,8,116.14,refunded,2025-12-11
126,23,42.76,paid,2025-11-01
127,6,448.32,paid,2026-02-02
128,28,267.59,paid,2025-05-22
129,28,79.36,paid,2025-12-01
130,40,409.69,paid,2026-03-12
131,18,458.54,paid,2025-12-20
132,46,400.35,pending,2026-02-17
133,50,329.65,paid,2025-10-17
134,29,362.07,pending,2025-09-02
135,5,61.02,paid,2025-12-13
136,10,49.77,refunded,2026-01-31
137,50,195.58,paid,2025-09-29
138,31,348.24,paid,2025-06-13
139,22,73.42,cancelled,2025-12-30
140,25,212.24,paid,2025-08-04
141,32,268.57,pending,2025-10-20
142,6,292.58,paid,2025-07-13
143,50,348.28,pending,2025-05-10
144,6,121.42,paid,2026-04-26
145,24,281.4,refunded,2026-03-09
146,4,456.12,paid,2026-02-22
147,19,232.89,pending,2025-07-26
148,27,125.04,pending,2026-04-06
149,48,73.21,refunded,2025-05-09
150,10,191.84,paid,2025-09-29
151,24,31.77,paid,2025-07-11
152,5,241.03,paid,2026-02-13
153,2,77.71,paid,2025-12-30
154,5,11.18,pending,2025-10-03
155,10,383.88,paid,2026-02-22
156,48,266.09,cancelled,2025-09-06
157,27,362.67,paid,2025-06-08
158,45,11.54,paid,2026-04-04
159,42,20.9,pending,2025-08-20
160,11,10.38,pending,2025-05-21
161,30,279.31,pending,2025-07-16
162,33,156.49,paid,2026-02-13
163,18,486.7,paid,2026-03-01
164,48,109.87,paid,2026-01-12
165,26,95.93,pending,2025-07-22
166,39,421.65,pending,2025-09-07
167,31,160.03,paid,2025-10-22
168,11,32.06,paid,2025-09-29
169,13,138.61,paid,2025-10-31
170,39,390.5,paid,2026-01-02
171,19,85.57,paid,2026-01-16
172,39,10.43,cancelled,2026-01-28
