Item  Code,Description,CG,SCG,Year,Team
100073,Beer item 100073,04 - Beer,02 - Beer subgroup 2,2027,SST
100073,Beer item 100073,04 - Beer,02 - Beer subgroup 2,2028,VCO
100073,Beer item 100073,04 - Beer,02 - Beer subgroup 2,2029,
100073,Beer item 100073,04 - Beer,02 - Beer subgroup 2,2030,SST
100073,Beer item 100073,04 - Beer,02 - Beer subgroup 2,2031,SST
100036,Wine item 100036,03 - Wine,04 - Wine subgroup 4,2027,VCO
100036,Wine item 100036,03 - Wine,04 - Wine subgroup 4,2028,SST
100036,Wine item 100036,03 - Wine,04 - Wine subgroup 4,2029,
100036,Wine item 100036,03 - Wine,04 - Wine subgroup 4,2030,SST
100036,Wine item 100036,03 - Wine,04 - Wine subgroup 4,2031,SST
100046,Meat item 100046,09 - Meat,02 - Meat subgroup 2,2027,VCO
100046,Meat item 100046,09 - Meat,02 - Meat subgroup 2,2028,
100046,Meat item 100046,09 - Meat,02 - Meat subgroup 2,2029,
100046,Meat item 100046,09 - Meat,02 - Meat subgroup 2,2030,
100046,Meat item 100046,09 - Meat,02 - Meat subgroup 2,2031,SST
100065,Seafood item 100065,12 - Seafood,04 - Seafood subgroup 4,2027,SST
100065,Seafood item 100065,12 - Seafood,04 - Seafood subgroup 4,2028,SST
100065,Seafood item 100065,12 - Seafood,04 - Seafood subgroup 4,2029,
100065,Seafood item 100065,12 - Seafood,04 - Seafood subgroup 4,2030,SST
100065,Seafood item 100065,12 - Seafood,04 - Seafood subgroup 4,2031,SST
100022,Confectionery item 100022,10 - Confectionery,03 - Confectionery subgroup 3,2027,
100022,Confectionery item 100022,10 - Confectionery,03 - Confectionery subgroup 3,2028,SST
100022,Confectionery item 100022,10 - Confectionery,03 - Confectionery subgroup 3,2029,
100022,Confectionery item 100022,10 - Confectionery,03 - Confectionery subgroup 3,2030,VCO
100022,Confectionery item 100022,10 - Confectionery,03 - Confectionery subgroup 3,2031,SST
100039,Confectionery item 100039,10 - Confectionery,05 - Confectionery subgroup 5,2027,SST
100039,Confectionery item 100039,10 - Confectionery,05 - Confectionery subgroup 5,2028,
100039,Confectionery item 100039,10 - Confectionery,05 - Confectionery subgroup 5,2029,SST
100039,Confectionery item 100039,10 - Confectionery,05 - Confectionery subgroup 5,2030,VCO
100039,Confectionery item 100039,10 - Confectionery,05 - Confectionery subgroup 5,2031,
100078,Frozen item 100078,08 - Frozen,05 - Frozen subgroup 5,2027,SST
100078,Frozen item 100078,08 - Frozen,05 - Frozen subgroup 5,2028,VCO
100078,Frozen item 100078,08 - Frozen,05 - Frozen subgroup 5,2029,SST
100078,Frozen item 100078,08 - Frozen,05 - Frozen subgroup 5,2030,SST
100078,Frozen item 100078,08 - Frozen,05 - Frozen subgroup 5,2031,SST
100104,Beer item 100104,04 - Beer,03 - Beer subgroup 3,2027,VCO
100104,Beer item 100104,04 - Beer,03 - Beer subgroup 3,2028,SST
100104,Beer item 100104,04 - Beer,03 - Beer subgroup 3,2029,SST
100104,Beer item 100104,04 - Beer,03 - Beer subgroup 3,2030,VCO
100104,Beer item 100104,04 - Beer,03 - Beer subgroup 3,2031,VCO
100173,Frozen item 100173,08 - Frozen,01 - Frozen subgroup 1,2027,
100173,Frozen item 100173,08 - Frozen,01 - Frozen subgroup 1,2028,SST
100173,Frozen item 100173,08 - Frozen,01 - Frozen subgroup 1,2029,SST
100173,Frozen item 100173,08 - Frozen,01 - Frozen subgroup 1,2030,SST
100173,Frozen item 100173,08 - Frozen,01 - Frozen subgroup 1,2031,
100043,Meat item 100043,09 - Meat,03 - Meat subgroup 3,2027,VCO
100043,Meat item 100043,09 - Meat,03 - Meat subgroup 3,2028,SST
100043,Meat item 100043,09 - Meat,03 - Meat subgroup 3,2029,VCO
100043,Meat item 100043,09 - Meat,03 - Meat subgroup 3,2030,
100043,Meat item 100043,09 - Meat,03 - Meat subgroup 3,2031,SST
100015,Snacks item 100015,07 - Snacks,05 - Snacks subgroup 5,2027,SST
100015,Snacks item 100015,07 - Snacks,05 - Snacks subgroup 5,2028,
100015,Snacks item 100015,07 - Snacks,05 - Snacks subgroup 5,2029,VCO
100015,Snacks item 100015,07 - Snacks,05 - Snacks subgroup 5,2030,VCO
100015,Snacks item 100015,07 - Snacks,05 - Snacks subgroup 5,2031,VCO
100157,Dairy item 100157,05 - Dairy,01 - Dairy subgroup 1,2027,SST
100157,Dairy item 100157,05 - Dairy,01 - Dairy subgroup 1,2028,VCO
100157,Dairy item 100157,05 - Dairy,01 - Dairy subgroup 1,2029,SST
100157,Dairy item 100157,05 - Dairy,01 - Dairy subgroup 1,2030,VCO
100157,Dairy item 100157,05 - Dairy,01 - Dairy subgroup 1,2031,SST
100083,Snacks item 100083,07 - Snacks,03 - Snacks subgroup 3,2027,VCO
100083,Snacks item 100083,07 - Snacks,03 - Snacks subgroup 3,2028,SST
100083,Snacks item 100083,07 - Snacks,03 - Snacks subgroup 3,2029,VCO
100083,Snacks item 100083,07 - Snacks,03 - Snacks subgroup 3,2030,SST
100083,Snacks item 100083,07 - Snacks,03 - Snacks subgroup 3,2031,SST
100197,Meat item 100197,09 - Meat,02 - Meat subgroup 2,2027,
100197,Meat item 100197,09 - Meat,02 - Meat subgroup 2,2028,SST
100197,Meat item 100197,09 - Meat,02 - Meat subgroup 2,2029,
100197,Meat item 100197,09 - Meat,02 - Meat subgroup 2,2030,SST
100197,Meat item 100197,09 - Meat,02 - Meat subgroup 2,2031,SST
100006,Seafood item 100006,12 - Seafood,04 - Seafood subgroup 4,2027,
100006,Seafood item 100006,12 - Seafood,04 - Seafood subgroup 4,2028,
100006,Seafood item 100006,12 - Seafood,04 - Seafood subgroup 4,2029,SST
100006,Seafood item 100006,12 - Seafood,04 - Seafood subgroup 4,2030,SST
100006,Seafood item 100006,12 - Seafood,04 - Seafood subgroup 4,2031,
100182,Wine item 100182,03 - Wine,01 - Wine subgroup 1,2027,
100182,Wine item 100182,03 - Wine,01 - Wine subgroup 1,2028,SST
100182,Wine item 100182,03 - Wine,01 - Wine subgroup 1,2029,SST
100182,Wine item 100182,03 - Wine,01 - Wine subgroup 1,2030,VCO
100182,Wine item 100182,03 - Wine,01 - Wine subgroup 1,2031,SST
100014,Dairy item 100014,05 - Dairy,02 - Dairy subgroup 2,2027,SST
100014,Dairy item 100014,05 - Dairy,02 - Dairy subgroup 2,2028,
100014,Dairy item 100014,05 - Dairy,02 - Dairy subgroup 2,2029,
100014,Dairy item 100014,05 - Dairy,02 - Dairy subgroup 2,2030,SST
100014,Dairy item 100014,05 - Dairy,02 - Dairy subgroup 2,2031,SST
100076,Wine item 100076,03 - Wine,05 - Wine subgroup 5,2027,
100076,Wine item 100076,03 - Wine,05 - Wine subgroup 5,2028,VCO
100076,Wine item 100076,03 - Wine,05 - Wine subgroup 5,2029,SST
100076,Wine item 100076,03 - Wine,05 - Wine subgroup 5,2030,SST
100076,Wine item 100076,03 - Wine,05 - Wine subgroup 5,2031,SST
100099,Snacks item 100099,07 - Snacks,04 - Snacks subgroup 4,2027,VCO
100099,Snacks item 100099,07 - Snacks,04 - Snacks subgroup 4,2028,
100099,Snacks item 100099,07 - Snacks,04 - Snacks subgroup 4,2029,SST
100099,Snacks item 100099,07 - Snacks,04 - Snacks subgroup 4,2030,VCO
100099,Snacks item 100099,07 - Snacks,04 - Snacks subgroup 4,2031,VCO
100025,Meat item 100025,09 - Meat,05 - Meat subgroup 5,2027,VCO
100025,Meat item 100025,09 - Meat,05 - Meat subgroup 5,2028,SST
100025,Meat item 100025,09 - Meat,05 - Meat subgroup 5,2029,SST
100025,Meat item 100025,09 - Meat,05 - Meat subgroup 5,2030,SST
100025,Meat item 100025,09 - Meat,05 - Meat subgroup 5,2031,SST
100081,Dairy item 100081,05 - Dairy,03 - Dairy subgroup 3,2027,SST
100081,Dairy item 100081,05 - Dairy,03 - Dairy subgroup 3,2028,
100081,Dairy item 100081,05 - Dairy,03 - Dairy subgroup 3,2029,
100081,Dairy item 100081,05 - Dairy,03 - Dairy subgroup 3,2030,SST
100081,Dairy item 100081,05 - Dairy,03 - Dairy subgroup 3,2031,SST
100198,Meat item 100198,09 - Meat,03 - Meat subgroup 3,2027,SST
100198,Meat item 100198,09 - Meat,03 - Meat subgroup 3,2028,VCO
100198,Meat item 100198,09 - Meat,03 - Meat subgroup 3,2029,SST
100198,Meat item 100198,09 - Meat,03 - Meat subgroup 3,2030,
100198,Meat item 100198,09 - Meat,03 - Meat subgroup 3,2031,VCO
100105,Bakery item 100105,01 - Bakery,05 - Bakery subgroup 5,2027,SST
100105,Bakery item 100105,01 - Bakery,05 - Bakery subgroup 5,2028,SST
100105,Bakery item 100105,01 - Bakery,05 - Bakery subgroup 5,2029,SST
100105,Bakery item 100105,01 - Bakery,05 - Bakery subgroup 5,2030,VCO
100105,Bakery item 100105,01 - Bakery,05 - Bakery subgroup 5,2031,SST
100082,Beer item 100082,04 - Beer,04 - Beer subgroup 4,2027,
100082,Beer item 100082,04 - Beer,04 - Beer subgroup 4,2028,SST
100082,Beer item 100082,04 - Beer,04 - Beer subgroup 4,2029,
100082,Beer item 100082,04 - Beer,04 - Beer subgroup 4,2030,SST
100082,Beer item 100082,04 - Beer,04 - Beer subgroup 4,2031,SST
100066,Snacks item 100066,07 - Snacks,01 - Snacks subgroup 1,2027,SST
100066,Snacks item 100066,07 - Snacks,01 - Snacks subgroup 1,2028,SST
100066,Snacks item 100066,07 - Snacks,01 - Snacks subgroup 1,2029,
100066,Snacks item 100066,07 - Snacks,01 - Snacks subgroup 1,2030,SST
100066,Snacks item 100066,07 - Snacks,01 - Snacks subgroup 1,2031,SST
100096,Seafood item 100096,12 - Seafood,02 - Seafood subgroup 2,2027,VCO
100096,Seafood item 100096,12 - Seafood,02 - Seafood subgroup 2,2028,SST
100096,Seafood item 100096,12 - Seafood,02 - Seafood subgroup 2,2029,
100096,Seafood item 100096,12 - Seafood,02 - Seafood subgroup 2,2030,SST
100096,Seafood item 100096,12 - Seafood,02 - Seafood subgroup 2,2031,SST
