sapProductKey,cbisProductKey,active
800000,100003,1
800001,100005,1
800002,100006,1
800003,100008,1
800004,100011,1
800005,100012,1
800006,100014,1
800007,100015,1
800008,100016,1
800009,100017,1
800010,100018,1
800011,100019,1
800012,100020,1
800013,100021,1
800014,100022,1
800015,100023,1
800016,100025,1
800017,100027,1
800018,100030,1
800019,100031,1
800020,100032,1
800021,100034,1
800022,100036,1
800023,100037,1
800024,100039,1
800025,100040,1
800026,100042,1
800027,100043,1
800028,100044,1
800029,100045,1
800030,100046,1
800031,100048,1
800032,100050,1
800033,100051,1
800034,100052,1
800035,100053,1
800036,100054,1
800037,100055,1
800038,100057,1
800039,100058,1
800040,100059,1
800041,100060,1
800042,100061,1
800043,100062,1
800044,100064,1
800045,100066,1
800046,100067,1
800047,100069,1
800048,100071,1
800049,100072,1
800050,100073,1
800051,100075,1
800052,100076,1
800053,100077,1
800054,100078,1
800055,100083,1
800056,100085,1
800057,100086,1
800058,100087,1
800059,100088,1
800060,100090,1
800061,100091,1
800062,100092,1
800063,100094,1
800064,100095,1
800065,100096,1
800066,100097,1
800067,100100,1
800068,100103,1
800069,100105,1
800070,100106,1
800071,100107,1
800072,100108,1
800073,100111,1
800074,100112,1
800075,100114,1
800076,100116,1
800077,100117,1
800078,100118,1
800079,100119,1
800080,100120,1
800081,100122,1
800082,100126,1
800083,100127,1
800084,100128,1
800085,100129,1
800086,100130,1
800087,100131,1
800088,100132,1
800089,100133,1
800090,100135,1
800091,100136,1
800092,100138,1
800093,100140,1
800094,100142,1
800095,100143,1
800096,100144,1
800097,100145,1
800098,100146,1
800099,100148,1
800100,100149,1
800101,100150,1
800102,100151,1
800103,100152,1
800104,100154,1
800105,100156,1
800106,100157,1
800107,100158,1
800108,100159,1
800109,100160,1
800110,100161,1
800111,100162,1
800112,100163,1
800113,100164,1
800114,100169,1
800115,100170,1
800116,100171,1
800117,100172,1
800118,100173,1
800119,100174,1
800120,100175,1
800121,100176,1
800122,100177,1
800123,100178,1
800124,100179,1
800125,100180,1
800126,100182,1
800127,100183,1
800128,100184,1
800129,100185,1
800130,100187,1
800131,100188,1
800132,100189,1
800133,100190,1
800134,100191,1
800135,100193,1
800136,100195,1
800137,100196,1
800138,100197,1
800139,100198,1
