supplier_id,supplier_name,Region,cap_year,year_2027,year_2028,year_2029,year_2030,year_2031,capacity
10001,Acme Foods Co,North,2031,33387,42460,13982,12790,30757,2016
10001,Acme Foods Co,South,2028,8916,28435,18260,37344,47621,31792
10001,Acme Foods Co,East,2027,9283,3233,29273,2568,46222,11940
10001,Acme Foods Co,West,2027,9675,34744,35688,26435,28679,24223
10002,Heritage Bakers Ltd,North,2028,27366,46673,37499,16822,47660,20227
10002,Heritage Bakers Ltd,South,2027,23073,23062,39763,40895,41411,8062
10002,Heritage Bakers Ltd,East,2027,5833,49414,24262,30418,27796,42342
10002,Heritage Bakers Ltd,West,2030,49542,29553,19958,32267,46882,9821
10003,Coastal Beverages,North,2028,48428,39637,34382,6491,10978,1510
10003,Coastal Beverages,South,2031,39866,25240,45165,43559,30722,25862
10003,Coastal Beverages,East,2029,29743,12581,34336,48351,39540,19304
10003,Coastal Beverages,West,2027,16221,20487,33328,23355,4164,37970
10004,Northern Dairy Group,North,2031,35419,38999,34307,28963,19694,22155
10004,Northern Dairy Group,South,2030,21878,12692,10384,3748,49144,48905
10004,Northern Dairy Group,East,2028,29215,35022,19235,38692,41335,21602
10004,Northern Dairy Group,West,2027,23763,19664,11852,8769,19864,18946
10005,Sunrise Produce,North,2030,29764,15656,12096,19905,18001,40725
10005,Sunrise Produce,South,2027,16183,44675,19260,10240,7289,14555
10005,Sunrise Produce,East,2031,34338,12065,2792,40216,3604,36378
10005,Sunrise Produce,West,2031,13788,1436,33005,2689,25218,14313
10006,Greenfield Organics,North,2029,38431,28951,48978,30152,35137,9269
10006,Greenfield Organics,South,2030,20329,8183,47940,47289,8860,30124
10006,Greenfield Organics,East,2030,33325,18239,6692,9966,19248,48948
10006,Greenfield Organics,West,2027,24181,6181,49776,15577,48668,5872
10007,Pacific Snacks,North,2029,11271,34230,22976,19095,30718,42328
10007,Pacific Snacks,South,2031,45045,5855,47321,46084,21631,3513
10007,Pacific Snacks,East,2030,7582,47209,35163,21809,13477,37580
10007,Pacific Snacks,West,2027,42582,42109,1522,17116,9970,39426
10008,Highland Meats,North,2030,15431,45128,13823,18385,31809,10924
10008,Highland Meats,South,2030,13262,49074,33553,19520,9637,14013
10008,Highland Meats,East,2027,34836,48401,15037,1209,29463,5408
10008,Highland Meats,West,2030,37551,41056,14667,47529,12672,3543
10009,Crystal Mills,North,2030,46087,18240,41198,25922,42354,39266
10009,Crystal Mills,South,2028,42793,23852,32734,35764,44053,12800
10009,Crystal Mills,East,2029,16197,20144,44776,32788,33127,42289
10009,Crystal Mills,West,2030,40180,24404,36613,32520,20360,7326
10010,Alpine Cheese Works,North,2028,8364,19826,28498,30305,22325,17213
10010,Alpine Cheese Works,South,2030,8590,12547,31456,21899,44293,8440
10010,Alpine Cheese Works,East,2029,46676,27089,47191,9392,32702,33058
10010,Alpine Cheese Works,West,2031,28001,46037,16391,2898,20066,18558
10011,Riverbend Cellars,North,2031,15097,27804,4984,37848,22180,18144
10011,Riverbend Cellars,South,2029,27950,26649,29963,28865,27127,18085
10011,Riverbend Cellars,East,2027,18584,32818,48722,15348,23271,42698
10011,Riverbend Cellars,West,2027,21218,30336,27857,15503,38519,11914
10012,Sunset Brewing Co,North,2031,14513,41978,8229,41193,41026,22606
10012,Sunset Brewing Co,South,2028,40646,36374,2305,48331,2383,25850
10012,Sunset Brewing Co,East,2027,47185,22842,24114,37234,5159,43921
10012,Sunset Brewing Co,West,2027,34990,14792,24730,36092,14004,11288
10013,Vineyard Estates,North,2031,26921,48043,16029,20017,11577,25502
10013,Vineyard Estates,South,2029,28092,15130,37238,49059,17299,1893
10013,Vineyard Estates,East,2027,2312,35508,7718,33866,27079,32778
10013,Vineyard Estates,West,2027,11285,19552,20756,2588,16073,42389
10014,Goldwheat Bakery,North,2028,3213,18855,9103,25763,43944,27263
10014,Goldwheat Bakery,South,2028,49531,18694,6565,6015,5842,34063
10014,Goldwheat Bakery,East,2030,2320,1966,49670,36500,40640,10951
10014,Goldwheat Bakery,West,2027,49226,39547,26632,13732,40694,21459
10015,Sweetwater Ranch,North,2029,28862,34577,49724,2535,20801,18960
10015,Sweetwater Ranch,South,2030,14281,7532,18319,43994,38761,31893
10015,Sweetwater Ranch,East,2030,20086,29149,7098,15565,27629,37765
10015,Sweetwater Ranch,West,2029,32676,19639,47063,35944,34200,17031
10016,Mountain Spring Foods,North,2030,2128,33573,48681,26797,25427,36820
10016,Mountain Spring Foods,South,2027,30639,15684,38871,2631,27040,16211
10016,Mountain Spring Foods,East,2030,25236,32247,37906,8140,43127,21356
10016,Mountain Spring Foods,West,2029,10422,42282,6481,7251,37758,12092
10017,Ocean Catch Seafoods,North,2028,33100,39889,17381,6497,10262,27423
10017,Ocean Catch Seafoods,South,2031,32032,35301,48384,38135,16232,4862
10017,Ocean Catch Seafoods,East,2030,17516,27991,21411,49530,23142,10870
10017,Ocean Catch Seafoods,West,2027,22066,46154,38048,40238,27642,1365
10018,Prairie Grain Mill,North,2029,46245,14711,37858,33029,36755,33755
10018,Prairie Grain Mill,South,2029,43730,16449,22091,31236,47456,32653
10018,Prairie Grain Mill,East,2031,37359,49475,49042,6336,7884,28898
10018,Prairie Grain Mill,West,2027,25620,9341,1892,11622,35074,8961
10019,Sugarcane Confectioners,North,2028,13934,29678,8449,3559,28799,33452
10019,Sugarcane Confectioners,South,2028,42036,35379,32928,10166,36853,28403
10019,Sugarcane Confectioners,East,2030,1606,20447,8705,29539,20282,48182
