productCode,supplierNo,packsize,casesPerPallet
100000,10001,8,96
100002,10013,24,72
100004,10005,12,108
100005,10015,24,60
100006,10004,18,120
100007,10015,36,108
100008,10010,8,72
100009,10015,12,96
100010,10006,8,120
100011,10008,6,60
100012,10009,24,120
100013,10016,36,60
100014,10008,24,108
100015,10016,8,108
100016,10011,8,72
100017,10012,18,60
100018,10004,24,60
100019,10012,6,120
100020,10011,12,96
100021,10012,24,108
100023,10003,18,72
100024,10013,24,72
100025,10017,24,96
100026,10018,18,60
100027,10012,24,108
100028,10011,6,108
100029,10003,12,72
100030,10019,18,96
100031,10013,18,60
100032,10004,36,108
100035,10013,6,120
100036,10012,18,108
100037,10016,18,108
100038,10019,12,96
100039,10002,6,120
100040,10020,24,96
100041,10011,8,60
100042,10002,18,120
100043,10009,36,60
100044,10005,12,96
100045,10012,24,72
100046,10020,12,72
100047,10006,24,60
100048,10001,24,72
100050,10007,8,72
100051,10002,18,72
100052,10005,12,72
100053,10001,36,60
100054,10005,6,108
100055,10007,36,120
100056,10005,8,108
100057,10006,12,120
100058,10004,6,120
100059,10012,8,96
100060,10016,6,60
100061,10016,24,96
100062,10011,12,120
100063,10015,12,120
100064,10016,8,108
100065,10001,24,60
100066,10014,36,96
100067,10017,36,60
100068,10012,18,120
100069,10016,6,120
100070,10013,12,60
100071,10020,36,120
100072,10014,8,96
100073,10011,18,120
100074,10007,18,60
100075,10013,6,96
100077,10013,24,72
100078,10020,24,108
100080,10009,36,120
100081,10014,6,96
100083,10018,8,96
100084,10016,12,60
100085,10008,12,96
100086,10014,18,60
100087,10013,18,108
100088,10003,8,120
100090,10017,6,120
100091,10002,12,96
100092,10001,8,108
100093,10011,6,60
100094,10015,24,108
100095,10001,24,96
100097,10004,24,120
100098,10015,36,108
100099,10004,12,60
100100,10020,12,72
100102,10012,8,108
100103,10014,12,72
100104,10012,24,96
100106,10019,18,120
100109,10009,8,96
100111,10020,6,120
100112,10011,36,72
100113,10002,36,120
100115,10012,18,108
100116,10003,36,96
100117,10012,8,72
100119,10017,24,108
100120,10007,12,72
100121,10013,6,108
100123,10003,12,120
100125,10010,24,96
100126,10013,18,120
100127,10018,6,72
100130,10009,24,96
100131,10012,12,108
100133,10014,6,60
100134,10018,8,120
100136,10012,18,72
100137,10008,12,120
100138,10003,6,108
100139,10019,12,72
100143,10019,18,108
100144,10016,12,72
100145,10008,18,60
100146,10016,36,60
100147,10020,12,60
100149,10012,36,72
100150,10016,36,96
100152,10017,36,72
100153,10011,6,108
100154,10005,18,60
100156,10005,36,72
100158,10012,12,120
100159,10007,18,60
100160,10015,36,72
100161,10009,36,60
100162,10010,8,120
100163,10013,36,60
100165,10003,12,120
100166,10013,12,120
100167,10009,18,72
100168,10011,8,60
100169,10016,24,72
100170,10016,12,72
100171,10014,8,60
100172,10017,6,96
100173,10004,24,120
100174,10017,36,120
100175,10019,12,108
100177,10002,8,108
100179,10013,24,60
100180,10012,24,60
100181,10013,8,60
100182,10012,8,96
100183,10009,36,96
100184,10012,12,72
100186,10001,18,108
100187,10019,18,72
100188,10005,12,108
100189,10016,24,72
100190,10017,36,72
100192,10017,12,96
100193,10015,36,120
100194,10011,36,60
100195,10014,18,72
100196,10010,12,60
100198,10004,24,60
100199,10001,36,108
