productCode,supplierNo,CGNo,margin_rate,tier
100170,10016,6,0.3407,B
100121,10013,4,0.3286,A
100171,10014,8,0.3304,C
100031,10013,2,0.2075,A
100199,10001,9,0.1794,C
100034,10008,5,0.3963,A
100136,10012,3,0.3899,C
100162,10010,12,0.1716,C
100185,10013,2,0.1155,A
100125,10010,1,0.2268,B
100023,10003,1,0.1664,A
100177,10002,9,0.1339,C
100085,10008,7,0.1283,C
100057,10006,7,0.0537,C
100147,10020,1,0.3925,A
100153,10011,3,0.3213,A
100016,10011,2,0.2006,B
100164,10010,11,0.3218,A
100087,10013,3,0.4204,A
100096,10003,12,0.1922,B
100097,10004,12,0.1219,A
100167,10009,5,0.0969,C
100182,10012,3,0.31,C
100143,10019,10,0.2235,A
100111,10020,12,0.3008,B
100059,10012,4,0.148,A
100186,10001,5,0.1463,B
100066,10014,7,0.1711,C
100029,10003,1,0.4318,C
100074,10007,8,0.3481,C
100022,10019,10,0.4465,C
100028,10011,4,0.3134,B
100169,10016,6,0.396,C
100181,10013,3,0.2028,C
100151,10003,1,0.3113,B
100048,10001,11,0.0546,A
100197,10005,9,0.0831,B
100146,10016,12,0.3066,C
100094,10015,8,0.14,C
100032,10004,12,0.2792,C
100080,10009,8,0.2418,C
100179,10013,4,0.3481,C
100191,10017,12,0.1224,B
100000,10001,11,0.45,C
100079,10018,12,0.2235,C
100015,10016,7,0.1001,B
100165,10003,12,0.0754,C
100137,10008,11,0.124,C
100188,10005,6,0.0579,C
100099,10004,7,0.377,C
100108,10020,6,0.2454,C
100081,10014,5,0.3849,C
100093,10011,3,0.3355,C
100160,10015,7,0.0996,A
100133,10014,8,0.4363,A
100056,10005,9,0.1223,C
100027,10012,4,0.3281,A
100101,10017,8,0.2719,B
100002,10013,4,0.0992,A
100152,10017,12,0.28,C
100117,10012,3,0.1145,C
100159,10007,8,0.1527,A
100037,10016,7,0.0838,A
100075,10013,4,0.2525,B
100144,10016,6,0.4365,A
100127,10018,9,0.2192,C
100116,10003,7,0.05,B
100140,10019,7,0.0685,C
100072,10014,5,0.4118,B
100132,10019,6,0.3137,B
100008,10010,11,0.1059,B
100148,10012,2,0.328,C
100155,10011,3,0.4143,B
100064,10016,9,0.2925,C
100088,10003,11,0.1339,A
100154,10005,6,0.315,A
100035,10013,2,0.1448,A
100149,10012,2,0.1067,A
100090,10017,7,0.433,C
100073,10011,4,0.2708,C
100061,10016,11,0.1936,A
100138,10003,9,0.3416,B
100106,10019,9,0.0797,B
100176,10012,4,0.1543,C
100063,10015,10,0.4115,B
100130,10009,11,0.2324,B
100198,10004,9,0.3206,C
100184,10012,2,0.1073,A
100007,10015,5,0.0782,C
100103,10014,10,0.1578,C
100042,10002,10,0.3287,A
100019,10012,2,0.3358,C
100105,10007,1,0.3129,C
100091,10002,12,0.292,B
100026,10018,7,0.3786,B
100157,10018,5,0.447,B
100110,10006,6,0.2016,C
100168,10011,2,0.149,B
100089,10016,1,0.0998,A
100161,10009,11,0.3236,B
100006,10004,12,0.0764,C
100178,10013,2,0.0856,B
100062,10011,2,0.3612,A
100104,10012,4,0.3975,A
100050,10007,5,0.1595,A
100038,10019,12,0.2009,A
100084,10016,10,0.2015,A
100020,10011,3,0.3631,A
100141,10013,4,0.1203,C
100070,10013,4,0.4002,C
100095,10001,5,0.3785,B
100043,10009,9,0.0882,B
100054,10005,1,0.3302,B
100086,10014,1,0.2706,C
100060,10016,11,0.0896,A
100044,10005,5,0.1183,B
100142,10020,7,0.1223,C
100083,10018,7,0.3211,C
100009,10015,5,0.2707,B
100067,10017,9,0.2407,A
