productCode,mainCode,description,CGNo,retail,cgDesc,cgComplete,SCGNo,scgDesc,scgComplete,productClass,buyingDirector,groupBuyingDirector,packsize
100000,100000,Beverage item 100000,11,37.33,Beverage,11 - Beverage,1,Beverage subgroup 1,01 - Beverage subgroup 1,non_seasonal,Derek Lin,Carolyn Patel,8
100001,100001,Seafood item 100001,12,29.92,Seafood,12 - Seafood,1,Seafood subgroup 1,01 - Seafood subgroup 1,non_seasonal,Anita Gomez,Brett Cho,6
100002,100002,Beer item 100002,4,30.49,Beer,04 - Beer,2,Beer subgroup 2,02 - Beer subgroup 2,non_seasonal,Derek Lin,Iris Tanaka,24
100003,100003,Snacks item 100003,7,29.86,Snacks,07 - Snacks,2,Snacks subgroup 2,02 - Snacks subgroup 2,non_seasonal,Carolyn Patel,Grace Wu,6
100004,100004,Produce item 100004,6,11.54,Produce,06 - Produce,3,Produce subgroup 3,03 - Produce subgroup 3,Seasonal,Brett Cho,Brett Cho,12
100005,100005,Snacks item 100005,7,42.52,Snacks,07 - Snacks,1,Snacks subgroup 1,01 - Snacks subgroup 1,non_seasonal,Emily Faraday,Anita Gomez,24
100006,100006,Seafood item 100006,12,48.67,Seafood,12 - Seafood,4,Seafood subgroup 4,04 - Seafood subgroup 4,non_seasonal,Brett Cho,Iris Tanaka,18
100007,100007,Dairy item 100007,5,29.28,Dairy,05 - Dairy,5,Dairy subgroup 5,05 - Dairy subgroup 5,non_seasonal,Brett Cho,Anita Gomez,36
100008,100008,Beverage item 100008,11,49.27,Beverage,11 - Beverage,2,Beverage subgroup 2,02 - Beverage subgroup 2,non_seasonal,Brett Cho,Grace Wu,8
100009,100009,Dairy item 100009,5,8.96,Dairy,05 - Dairy,4,Dairy subgroup 4,04 - Dairy subgroup 4,non_seasonal,Derek Lin,Emily Faraday,12
100010,100010,Seafood item 100010,12,27.16,Seafood,12 - Seafood,1,Seafood subgroup 1,01 - Seafood subgroup 1,non_seasonal,Carolyn Patel,Hassan Mehta,8
100011,100011,Snacks item 100011,7,34.54,Snacks,07 - Snacks,3,Snacks subgroup 3,03 - Snacks subgroup 3,non_seasonal,Derek Lin,Anita Gomez,6
100012,100012,Produce item 100012,6,4.23,Produce,06 - Produce,4,Produce subgroup 4,04 - Produce subgroup 4,Seasonal,Felipe Ortega,Derek Lin,24
100013,100013,Beverage item 100013,11,44.34,Beverage,11 - Beverage,4,Beverage subgroup 4,04 - Beverage subgroup 4,non_seasonal,Hassan Mehta,Carolyn Patel,36
100014,100014,Dairy item 100014,5,37.49,Dairy,05 - Dairy,2,Dairy subgroup 2,02 - Dairy subgroup 2,non_seasonal,Emily Faraday,Jamal Reed,24
100015,100015,Snacks item 100015,7,18.73,Snacks,07 - Snacks,5,Snacks subgroup 5,05 - Snacks subgroup 5,non_seasonal,Iris Tanaka,Hassan Mehta,8
100016,100016,Sparkling wine item 100016,2,8.48,Sparkling wine,02 - Sparkling wine,1,Sparkling wine subgroup 1,01 - Sparkling wine subgroup 1,non_seasonal,Grace Wu,Jamal Reed,8
100017,100017,Sparkling wine item 100017,2,30.19,Sparkling wine,02 - Sparkling wine,4,Sparkling wine subgroup 4,04 - Sparkling wine subgroup 4,non_seasonal,Iris Tanaka,Emily Faraday,18
100018,100018,Meat item 100018,9,34.39,Meat,09 - Meat,1,Meat subgroup 1,01 - Meat subgroup 1,non_seasonal,Emily Faraday,Felipe Ortega,24
100019,100019,Sparkling wine item 100019,2,8.74,Sparkling wine,02 - Sparkling wine,3,Sparkling wine subgroup 3,03 - Sparkling wine subgroup 3,non_seasonal,Emily Faraday,Iris Tanaka,6
100020,100020,Wine item 100020,3,43.65,Wine,03 - Wine,5,Wine subgroup 5,05 - Wine subgroup 5,non_seasonal,Iris Tanaka,Jamal Reed,12
100021,100021,Beer item 100021,4,38.35,Beer,04 - Beer,2,Beer subgroup 2,02 - Beer subgroup 2,non_seasonal,Iris Tanaka,Anita Gomez,24
100022,100022,Confectionery item 100022,10,1.94,Confectionery,10 - Confectionery,3,Confectionery subgroup 3,03 - Confectionery subgroup 3,non_seasonal,Emily Faraday,Derek Lin,12
100023,100023,Bakery item 100023,1,5.19,Bakery,01 - Bakery,2,Bakery subgroup 2,02 - Bakery subgroup 2,non_seasonal,Brett Cho,Iris Tanaka,18
100024,100024,Wine item 100024,3,24.28,Wine,03 - Wine,2,Wine subgroup 2,02 - Wine subgroup 2,non_seasonal,Carolyn Patel,Emily Faraday,24
100025,100025,Meat item 100025,9,48.24,Meat,09 - Meat,5,Meat subgroup 5,05 - Meat subgroup 5,non_seasonal,Derek Lin,Emily Faraday,24
100026,100026,Snacks item 100026,7,45.07,Snacks,07 - Snacks,3,Snacks subgroup 3,03 - Snacks subgroup 3,non_seasonal,Brett Cho,Derek Lin,18
100027,100027,Beer item 100027,4,2.02,Beer,04 - Beer,1,Beer subgroup 1,01 - Beer subgroup 1,non_seasonal,Derek Lin,Jamal Reed,24
100028,100028,Beer item 100028,4,35.67,Beer,04 - Beer,1,Beer subgroup 1,01 - Beer subgroup 1,non_seasonal,Derek Lin,Brett Cho,6
100029,100029,Bakery item 100029,1,26.18,Bakery,01 - Bakery,3,Bakery subgroup 3,03 - Bakery subgroup 3,non_seasonal,Hassan Mehta,Derek Lin,12
100030,100030,Meat item 100030,9,12.9,Meat,09 - Meat,2,Meat subgroup 2,02 - Meat subgroup 2,non_seasonal,Grace Wu,Derek Lin,18
100031,100031,Sparkling wine item 100031,2,22.11,Sparkling wine,02 - Sparkling wine,1,Sparkling wine subgroup 1,01 - Sparkling wine subgroup 1,non_seasonal,Grace Wu,Hassan Mehta,18
100032,100032,Seafood item 100032,12,3.96,Seafood,12 - Seafood,1,Seafood subgroup 1,01 - Seafood subgroup 1,non_seasonal,Felipe Ortega,Brett Cho,36
100033,100033,Beer item 100033,4,27.27,Beer,04 - Beer,2,Beer subgroup 2,02 - Beer subgroup 2,non_seasonal,Grace Wu,Carolyn Patel,8
100034,100034,Dairy item 100034,5,43.84,Dairy,05 - Dairy,4,Dairy subgroup 4,04 - Dairy subgroup 4,non_seasonal,Hassan Mehta,Iris Tanaka,6
100035,100035,Sparkling wine item 100035,2,49.95,Sparkling wine,02 - Sparkling wine,1,Sparkling wine subgroup 1,01 - Sparkling wine subgroup 1,non_seasonal,Brett Cho,Derek Lin,6
100036,100036,Wine item 100036,3,24.58,Wine,03 - Wine,4,Wine subgroup 4,04 - Wine subgroup 4,non_seasonal,Anita Gomez,Carolyn Patel,18
100037,100037,Snacks item 100037,7,13.98,Snacks,07 - Snacks,1,Snacks subgroup 1,01 - Snacks subgroup 1,non_seasonal,Emily Faraday,Grace Wu,18
100038,100038,Seafood item 100038,12,8.58,Seafood,12 - Seafood,5,Seafood subgroup 5,05 - Seafood subgroup 5,non_seasonal,Derek Lin,Anita Gomez,12
100039,100039,Confectionery item 100039,10,37.64,Confectionery,10 - Confectionery,5,Confectionery subgroup 5,05 - Confectionery subgroup 5,non_seasonal,Anita Gomez,Jamal Reed,6
100040,100040,Frozen item 100040,8,8.7,Frozen,08 - Frozen,5,Frozen subgroup 5,05 - Frozen subgroup 5,non_seasonal,Brett Cho,Carolyn Patel,24
100041,100041,Sparkling wine item 100041,2,34.08,Sparkling wine,02 - Sparkling wine,5,Sparkling wine subgroup 5,05 - Sparkling wine subgroup 5,non_seasonal,Grace Wu,Brett Cho,8
100042,100042,Confectionery item 100042,10,31.34,Confectionery,10 - Confectionery,2,Confectionery subgroup 2,02 - Confectionery subgroup 2,non_seasonal,Jamal Reed,Jamal Reed,18
100043,100043,Meat item 100043,9,11.0,Meat,09 - Meat,3,Meat subgroup 3,03 - Meat subgroup 3,non_seasonal,Felipe Ortega,Derek Lin,36
100044,100044,Dairy item 100044,5,33.9,Dairy,05 - Dairy,4,Dairy subgroup 4,04 - Dairy subgroup 4,non_seasonal,Hassan Mehta,Felipe Ortega,12
100045,100045,Sparkling wine item 100045,2,31.43,Sparkling wine,02 - Sparkling wine,1,Sparkling wine subgroup 1,01 - Sparkling wine subgroup 1,non_seasonal,Brett Cho,Brett Cho,24
100046,100046,Meat item 100046,9,13.98,Meat,09 - Meat,2,Meat subgroup 2,02 - Meat subgroup 2,non_seasonal,Brett Cho,Derek Lin,12
100047,100047,Produce item 100047,6,22.46,Produce,06 - Produce,3,Produce subgroup 3,03 - Produce subgroup 3,Seasonal,Emily Faraday,Jamal Reed,24
