product_id,sku,category,unit_price
1,SKU-0001,Home,165.94
2,SKU-0002,Apparel,14.75
3,SKU-0003,Beauty,78.63
4,SKU-0004,Apparel,172.96
5,SKU-0005,Outdoor,90.46
6,SKU-0006,Electronics,43.52
7,SKU-0007,Electronics,133.0
8,SKU-0008,Beauty,13.29
9,SKU-0009,Home,9.16
10,SKU-0010,Home,187.62
11,SKU-0011,Beauty,151.62
12,SKU-0012,Home,184.76
13,SKU-0013,Home,162.61
14,SKU-0014,Beauty,45.65
15,SKU-0015,Apparel,70.16
16,SKU-0016,Beauty,88.5
17,SKU-0017,Outdoor,157.16
18,SKU-0018,Pantry,151.21
19,SKU-0019,Apparel,111.99
20,SKU-0020,Pantry,186.69
21,SKU-0021,Home,172.12
22,SKU-0022,Beauty,94.3
23,SKU-0023,Beauty,144.68
24,SKU-0024,Beauty,54.23
25,SKU-0025,Outdoor,95.05
26,SKU-0026,Electronics,28.97
27,SKU-0027,Apparel,58.29
28,SKU-0028,Pantry,190.33
29,SKU-0029,Apparel,199.75
30,SKU-0030,Beauty,61.27
