supplierNo,supplier
10001,Acme Foods Co
10002,Heritage Bakers Ltd
10003,Coastal Beverages
10004,Northern Dairy Group
10005,Sunrise Produce
10006,Greenfield Organics
10007,Pacific Snacks
10008,Highland Meats
10009,Crystal Mills
10010,Alpine Cheese Works
10011,Riverbend Cellars
10012,Sunset Brewing Co
10013,Vineyard Estates
10014,Goldwheat Bakery
10015,Sweetwater Ranch
10016,Mountain Spring Foods
10017,Ocean Catch Seafoods
10018,Prairie Grain Mill
10019,Sugarcane Confectioners
10020,Frontier Frozen Foods
